split,filename,domain,objects_in_image,B1,B2,B3,B4
train,DAMIMAS_A21B_0007_2.jpg,DAMIMAS,10,2,0,6,2
train,DAMIMAS_A21B_0360_2.jpg,DAMIMAS,10,4,2,0,4
train,DAMIMAS_A21B_0429_3.jpg,DAMIMAS,10,1,1,5,3
train,DAMIMAS_A21B_0632_4.jpg,DAMIMAS,10,1,1,5,3
train,DAMIMAS_A21B_0723_2.jpg,DAMIMAS,10,1,2,4,3
train,DAMIMAS_A21B_0075_4.jpg,DAMIMAS,9,2,4,2,1
val,DAMIMAS_A21B_0103_4.jpg,DAMIMAS,9,1,5,3,0
train,DAMIMAS_A21B_0163_3.jpg,DAMIMAS,9,1,6,1,1
train,DAMIMAS_A21B_0285_1.jpg,DAMIMAS,9,3,1,4,1
train,DAMIMAS_A21B_0285_4.jpg,DAMIMAS,9,1,2,4,2
train,DAMIMAS_A21B_0291_4.jpg,DAMIMAS,9,1,4,2,2
train,DAMIMAS_A21B_0354_1.jpg,DAMIMAS,9,0,2,6,1
train,DAMIMAS_A21B_0429_1.jpg,DAMIMAS,9,2,1,3,3
train,DAMIMAS_A21B_0429_4.jpg,DAMIMAS,9,1,3,3,2
train,DAMIMAS_A21B_0506_1.jpg,DAMIMAS,9,2,1,2,4
train,DAMIMAS_A21B_0506_3.jpg,DAMIMAS,9,2,1,3,3
train,DAMIMAS_A21B_0579_1.jpg,DAMIMAS,9,3,2,3,1
train,DAMIMAS_A21B_0632_3.jpg,DAMIMAS,9,2,1,5,1
train,DAMIMAS_A21B_0635_1.jpg,DAMIMAS,9,2,2,3,2
val,DAMIMAS_A21B_0684_4.jpg,DAMIMAS,9,0,1,6,2
train,DAMIMAS_A21B_0723_1.jpg,DAMIMAS,9,2,1,4,2
train,DAMIMAS_A21B_0723_4.jpg,DAMIMAS,9,2,1,2,4
test,DAMIMAS_A21B_0727_1.jpg,DAMIMAS,9,0,2,6,1
train,DAMIMAS_A21B_0747_2.jpg,DAMIMAS,9,0,1,6,2
train,DAMIMAS_A21B_0823_7.jpg,DAMIMAS,9,1,2,5,1
train,DAMIMAS_A21B_0002_3.jpg,DAMIMAS,8,1,2,2,3
train,DAMIMAS_A21B_0045_1.jpg,DAMIMAS,8,1,1,4,2
train,DAMIMAS_A21B_0075_3.jpg,DAMIMAS,8,2,5,1,0
test,DAMIMAS_A21B_0094_3.jpg,DAMIMAS,8,1,0,1,6
val,DAMIMAS_A21B_0100_1.jpg,DAMIMAS,8,1,0,4,3
val,DAMIMAS_A21B_0107_1.jpg,DAMIMAS,8,2,3,3,0
val,DAMIMAS_A21B_0116_2.jpg,DAMIMAS,8,0,2,2,4
train,DAMIMAS_A21B_0163_4.jpg,DAMIMAS,8,2,3,2,1
train,DAMIMAS_A21B_0169_1.jpg,DAMIMAS,8,0,0,7,1
test,DAMIMAS_A21B_0250_2.jpg,DAMIMAS,8,1,0,2,5
train,DAMIMAS_A21B_0268_4.jpg,DAMIMAS,8,2,1,1,4
test,DAMIMAS_A21B_0275_3.jpg,DAMIMAS,8,2,4,1,1
test,DAMIMAS_A21B_0275_4.jpg,DAMIMAS,8,2,3,2,1
train,DAMIMAS_A21B_0303_1.jpg,DAMIMAS,8,0,5,3,0
val,DAMIMAS_A21B_0342_1.jpg,DAMIMAS,8,1,1,3,3
val,DAMIMAS_A21B_0342_2.jpg,DAMIMAS,8,2,1,2,3
train,DAMIMAS_A21B_0352_2.jpg,DAMIMAS,8,1,2,2,3
train,DAMIMAS_A21B_0354_2.jpg,DAMIMAS,8,1,0,7,0
train,DAMIMAS_A21B_0354_3.jpg,DAMIMAS,8,1,1,6,0
train,DAMIMAS_A21B_0358_1.jpg,DAMIMAS,8,0,1,4,3
train,DAMIMAS_A21B_0358_2.jpg,DAMIMAS,8,0,1,4,3
train,DAMIMAS_A21B_0365_2.jpg,DAMIMAS,8,0,2,5,1
train,DAMIMAS_A21B_0368_1.jpg,DAMIMAS,8,2,1,3,2
train,DAMIMAS_A21B_0368_4.jpg,DAMIMAS,8,3,0,3,2
train,DAMIMAS_A21B_0382_3.jpg,DAMIMAS,8,1,0,3,4
val,DAMIMAS_A21B_0390_2.jpg,DAMIMAS,8,1,1,3,3
val,DAMIMAS_A21B_0390_3.jpg,DAMIMAS,8,0,1,3,4
train,DAMIMAS_A21B_0410_2.jpg,DAMIMAS,8,1,1,5,1
train,DAMIMAS_A21B_0410_3.jpg,DAMIMAS,8,1,0,5,2
train,DAMIMAS_A21B_0410_4.jpg,DAMIMAS,8,2,1,3,2
train,DAMIMAS_A21B_0413_2.jpg,DAMIMAS,8,1,0,4,3
train,DAMIMAS_A21B_0416_3.jpg,DAMIMAS,8,1,3,2,2
val,DAMIMAS_A21B_0417_1.jpg,DAMIMAS,8,1,1,4,2
train,DAMIMAS_A21B_0429_2.jpg,DAMIMAS,8,0,2,5,1
train,DAMIMAS_A21B_0434_2.jpg,DAMIMAS,8,0,1,4,3
train,DAMIMAS_A21B_0441_2.jpg,DAMIMAS,8,0,3,4,1
train,DAMIMAS_A21B_0450_4.jpg,DAMIMAS,8,1,1,3,3
train,DAMIMAS_A21B_0454_1.jpg,DAMIMAS,8,0,1,3,4
train,DAMIMAS_A21B_0457_2.jpg,DAMIMAS,8,1,2,3,2
train,DAMIMAS_A21B_0478_1.jpg,DAMIMAS,8,2,1,2,3
test,DAMIMAS_A21B_0490_4.jpg,DAMIMAS,8,2,1,1,4
test,DAMIMAS_A21B_0497_4.jpg,DAMIMAS,8,1,1,5,1
train,DAMIMAS_A21B_0498_2.jpg,DAMIMAS,8,2,1,0,5
