split,filename,class_name,bbox_index,width_px,height_px,area_px,relative_area,aspect_ratio,objects_in_image,domain,outlier_side,rank,percentile,outlier_score,review_reason
val,DAMIMAS_A21B_0342_2.jpg,B1,1,16,20,314,0.0003,0.8192,8,DAMIMAS,left,1,0.0000,0.9817,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0222_4.jpg,B1,0,22,31,660,0.0005,0.7051,7,DAMIMAS,left,2,0.0005,0.9617,B1 terlalu kecil dibanding distribusi kelasnya
val,DAMIMAS_A21B_0398_2.jpg,B1,5,36,44,1572,0.0013,0.8214,7,DAMIMAS,left,3,0.0009,0.9086,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0473_3.jpg,B1,0,31,52,1642,0.0013,0.5983,4,DAMIMAS,left,4,0.0014,0.9046,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0378_1.jpg,B1,2,50,40,1993,0.0016,1.2719,7,DAMIMAS,left,5,0.0018,0.8842,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0474_3.jpg,B1,0,48,46,2195,0.0018,1.0421,5,DAMIMAS,left,6,0.0023,0.8725,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0470_3.jpg,B1,0,42,58,2424,0.0020,0.7313,6,DAMIMAS,left,7,0.0028,0.8591,B1 terlalu kecil dibanding distribusi kelasnya
train,LONSUM_A21A_0088_1.jpg,B1,0,52,47,2432,0.0020,1.1067,4,LONSUM,left,8,0.0032,0.8587,B1 terlalu kecil dibanding distribusi kelasnya
test,DAMIMAS_A21B_0135_3.jpg,B1,3,52,47,2440,0.0020,1.1116,5,DAMIMAS,left,9,0.0037,0.8582,B1 terlalu kecil dibanding distribusi kelasnya
train,DAMIMAS_A21B_0058_1.jpg,B1,0,39,64,2471,0.0020,0.6000,3,DAMIMAS,left,10,0.0041,0.8564,B1 terlalu kecil dibanding distribusi kelasnya
