split,class_name,instances,images_with_class,instance_share_in_split,image_prevalence_in_split
test,B1,323,268,0.11971830985915492,0.43790849673202614
test,B2,619,347,0.22942920681986656,0.5669934640522876
test,B3,1308,536,0.48480355819125276,0.8758169934640523
test,B4,448,303,0.16604892512972572,0.4950980392156863
train,B1,1465,1225,0.11789795589892162,0.44191919191919193
train,B2,2855,1735,0.22976018026718173,0.6259018759018758
train,B3,5656,2452,0.4551746338322871,0.8845598845598845
train,B4,2450,1555,0.19716723000160952,0.560966810966811
val,B1,381,312,0.13486725663716814,0.5131578947368421
val,B2,604,353,0.21380530973451328,0.5805921052631579
val,B3,1306,548,0.4623008849557522,0.9013157894736842
val,B4,534,328,0.18902654867256638,0.5394736842105263
