class_name,cluster_id,samples,dominant_source,dominant_source_share,dominant_view,dominant_view_share,mean_bbox_area,mean_y_center,mean_label_count
B1,0,101,DAMIMAS,0.8712871287128713,1,0.32673267326732675,0.010739430818009902,0.4441542772277228,5.0495049504950495
B1,1,112,DAMIMAS,0.9821428571428571,1,0.2767857142857143,0.016076833004053572,0.4572543660714286,5.071428571428571
B1,2,107,DAMIMAS,0.9813084112149533,1,0.29906542056074764,0.025737938283046734,0.4448665700934579,5.747663551401869
B2,0,107,DAMIMAS,0.6261682242990654,3,0.3177570093457944,0.00829573602306542,0.41378863551401873,4.635514018691588
B2,1,88,DAMIMAS,0.9886363636363636,3,0.26136363636363635,0.00910974469668182,0.4489317159090909,5.2272727272727275
B2,2,125,DAMIMAS,0.936,3,0.296,0.021751813652543996,0.42462792800000004,5.224
B3,0,94,DAMIMAS,0.9893617021276596,2,0.2765957446808511,0.02031915531855319,0.38357940425531906,5.191489361702128
B3,1,113,DAMIMAS,0.6017699115044248,2,0.2920353982300885,0.005609896672407079,0.3673482920353982,4.6371681415929205
B3,2,113,DAMIMAS,0.9734513274336283,2,0.2920353982300885,0.009620866729681415,0.3960824336283185,5.407079646017699
B4,0,106,DAMIMAS,0.9433962264150944,3,0.27358490566037735,0.011147626273603774,0.32414119811320763,5.188679245283019
B4,1,103,DAMIMAS,0.6407766990291263,4,0.3592233009708738,0.003917959596825242,0.34573170873786413,4.718446601941747
B4,2,111,DAMIMAS,0.9459459459459459,3,0.2972972972972973,0.009435892261891891,0.34526623423423436,5.54954954954955
