sample_id,class_name,source,split,tree_id,view_id,image_path,bbox_area,y_center,label_count,pca_x,pca_y,tsne_x,tsne_y,instance_id,x_center,bbox_w,bbox_h
2175,B1,DAMIMAS,train,DAMIMAS_A21B_0182,2,dataset_640\images\train\DAMIMAS_A21B_0182_2.jpg,0.010502013547999999,0.430715,4,0.7491284,0.94814986,-0.02776979,-1.1362807,2175,0.677613,0.108667,0.096644
14526,B1,DAMIMAS,val,DAMIMAS_A21B_0720,1,dataset_640\images\val\DAMIMAS_A21B_0720_1.jpg,0.037741715168,0.443711,6,3.8164244,-2.374038,40.0617,5.5467496,14526,0.766094,0.209696,0.179983
2110,B1,DAMIMAS,train,DAMIMAS_A21B_0176,2,dataset_640\images\train\DAMIMAS_A21B_0176_2.jpg,0.019873046784000002,0.454248,5,6.929823,-4.1681776,27.218292,-1.848555,2110,0.641068,0.157952,0.125817
15791,B1,DAMIMAS,test,DAMIMAS_A21B_0140,4,dataset_640\images\test\DAMIMAS_A21B_0140_4.jpg,0.015962225037,0.488445,7,3.1365728,-0.31046617,11.529384,0.2924333,15791,0.635971,0.147059,0.108543
2283,B1,DAMIMAS,train,DAMIMAS_A21B_0189,4,dataset_640\images\train\DAMIMAS_A21B_0189_4.jpg,0.011000833854,0.46749,2,3.1901183,-2.2852545,13.219788,2.3938966,2283,0.343818,0.110294,0.099741
6629,B1,DAMIMAS,train,DAMIMAS_A21B_0508,4,dataset_640\images\train\DAMIMAS_A21B_0508_4.jpg,0.009945643036,0.525174,5,0.4369933,2.121925,-8.053976,-9.444135,6629,0.588173,0.111532,0.089173
10809,B1,DAMIMAS,train,DAMIMAS_A21B_0809,4,dataset_640\images\train\DAMIMAS_A21B_0809_4.jpg,0.028183466156999997,0.325875,7,4.0381584,-1.5785928,42.14145,-0.14818919,10809,0.228261,0.189651,0.148607
12508,B1,DAMIMAS,val,DAMIMAS_A21B_0067,2,dataset_640\images\val\DAMIMAS_A21B_0067_2.jpg,0.013597924351,0.4708,5,4.788972,-5.059572,29.233265,-3.8758798,12508,0.406601,0.123457,0.110143
5576,B1,DAMIMAS,train,DAMIMAS_A21B_0437,3,dataset_640\images\train\DAMIMAS_A21B_0437_3.jpg,0.022446333789,0.330217,7,1.9905437,-3.3658137,41.764034,-1.6096165,5576,0.218577,0.148731,0.150919
13782,B1,DAMIMAS,val,DAMIMAS_A21B_0498,1,dataset_640\images\val\DAMIMAS_A21B_0498_1.jpg,0.013706424572,0.400928,7,0.3457123,1.0461752,-3.0928464,1.2700449,13782,0.405596,0.124799,0.109828
14476,B1,DAMIMAS,val,DAMIMAS_A21B_0712,2,dataset_640\images\val\DAMIMAS_A21B_0712_2.jpg,0.042179480868000004,0.421962,5,4.832151,-1.1534992,38.574715,7.5896482,14476,0.851679,0.254604,0.165667
2101,B1,DAMIMAS,train,DAMIMAS_A21B_0175,4,dataset_640\images\train\DAMIMAS_A21B_0175_4.jpg,0.01213986598,0.521147,7,3.0681744,0.42893842,10.357242,-17.397974,2101,0.303477,0.12431,0.097658
9118,B1,DAMIMAS,train,DAMIMAS_A21B_0675,4,dataset_640\images\train\DAMIMAS_A21B_0675_4.jpg,0.033216077525000005,0.461028,7,4.606262,-0.8017696,32.623207,6.94842,9118,0.744519,0.208939,0.158975
14965,B1,DAMIMAS,val,DAMIMAS_A21B_0836,1,dataset_640\images\val\DAMIMAS_A21B_0836_1.jpg,0.010155927335999999,0.446648,6,2.3021066,-2.0017676,40.47184,0.62451756,14965,0.704442,0.110742,0.091708
620,B1,DAMIMAS,train,DAMIMAS_A21B_0048,4,dataset_640\images\train\DAMIMAS_A21B_0048_4.jpg,0.022658890332,0.581922,3,3.4452665,1.2639921,24.578335,5.957451,620,0.635175,0.161418,0.140374
3641,B1,DAMIMAS,train,DAMIMAS_A21B_0303,2,dataset_640\images\train\DAMIMAS_A21B_0303_2.jpg,0.014249538177000002,0.543599,5,0.25497174,-1.8106351,34.82225,-1.684513,3641,0.293199,0.154321,0.092337
7093,B1,DAMIMAS,train,DAMIMAS_A21B_0540,4,dataset_640\images\train\DAMIMAS_A21B_0540_4.jpg,0.01368663642,0.373565,5,3.051907,1.4338757,13.417269,12.123376,7093,0.637095,0.13311,0.102822
11687,B1,DAMIMAS,train,DAMIMAS_A21B_0854,5,dataset_640\images\train\DAMIMAS_A21B_0854_5.jpg,0.019847403316,0.534268,4,3.1219218,-1.5449977,39.257908,1.0418398,11687,0.448955,0.149269,0.132964
324,B1,DAMIMAS,train,DAMIMAS_A21B_0023,3,dataset_640\images\train\DAMIMAS_A21B_0023_3.jpg,0.007337416512,0.528016,5,2.8730156,-3.804201,18.712864,-4.7741647,324,0.623956,0.093228,0.078704
1047,B1,DAMIMAS,train,DAMIMAS_A21B_0087,3,dataset_640\images\train\DAMIMAS_A21B_0087_3.jpg,0.010463447300000001,0.543077,6,0.9078752,2.369593,-11.382363,-2.998754,1047,0.483212,0.114155,0.09166
5452,B1,DAMIMAS,train,DAMIMAS_A21B_0429,4,dataset_640\images\train\DAMIMAS_A21B_0429_4.jpg,0.01735756824,0.574897,9,2.3876247,-2.1411383,39.416355,-8.763209,5452,0.339314,0.183174,0.09476
10733,B1,DAMIMAS,train,DAMIMAS_A21B_0804,1,dataset_640\images\train\DAMIMAS_A21B_0804_1.jpg,0.015641105438,0.250829,4,3.698094,4.645935,4.595426,-17.70774,10733,0.661869,0.127087,0.123074
2649,B1,DAMIMAS,train,DAMIMAS_A21B_0221,4,dataset_640\images\train\DAMIMAS_A21B_0221_4.jpg,0.012658295741999998,0.255681,7,1.0816987,-2.760589,43.83903,0.23967768,2649,0.292982,0.149551,0.084642
