image_path,label_path,stem,split,source_key,source,tree_id,view_id,width_px,height_px,file_size_bytes,label_count,is_empty,unique_class_count,class_combo,has_B1,has_B2,has_B3,has_B4
dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0001_1.txt,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,640,853,439624,5,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0001_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0001_2.txt,DAMIMAS_A21B_0001_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,2,640,853,421646,4,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0001_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0001_3.txt,DAMIMAS_A21B_0001_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,3,640,853,430651,4,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0001_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0001_4.txt,DAMIMAS_A21B_0001_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,4,640,853,432211,4,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0003_1.txt,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,640,853,420597,5,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0003_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0003_2.txt,DAMIMAS_A21B_0003_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,2,640,853,420101,5,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0003_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0003_3.txt,DAMIMAS_A21B_0003_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,3,640,853,414005,5,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0003_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0003_4.txt,DAMIMAS_A21B_0003_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,4,640,853,426868,5,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0004_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0004_1.txt,DAMIMAS_A21B_0004_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,1,640,853,408594,3,0,1,B3,0,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0004_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0004_2.txt,DAMIMAS_A21B_0004_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,2,640,853,410634,3,0,1,B3,0,0,1,0
dataset_640\images\train\DAMIMAS_A21B_0004_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0004_3.txt,DAMIMAS_A21B_0004_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,3,640,853,419177,3,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0004_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0004_4.txt,DAMIMAS_A21B_0004_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0004,4,640,853,403138,4,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0005_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0005_1.txt,DAMIMAS_A21B_0005_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,1,640,853,412460,4,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0005_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0005_2.txt,DAMIMAS_A21B_0005_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,2,640,853,415928,2,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0005_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0005_3.txt,DAMIMAS_A21B_0005_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,3,640,853,424596,5,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0005_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0005_4.txt,DAMIMAS_A21B_0005_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0005,4,640,853,435842,4,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0006_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0006_1.txt,DAMIMAS_A21B_0006_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,1,640,853,428069,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0006_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0006_2.txt,DAMIMAS_A21B_0006_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,2,640,853,435972,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0006_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0006_3.txt,DAMIMAS_A21B_0006_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,3,640,853,427727,4,0,3,B2+B3+B4,0,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0006_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0006_4.txt,DAMIMAS_A21B_0006_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0006,4,640,853,437743,5,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0007_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0007_1.txt,DAMIMAS_A21B_0007_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,1,640,853,423780,7,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0007_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0007_2.txt,DAMIMAS_A21B_0007_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,2,640,853,418762,9,0,3,B1+B3+B4,1,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0007_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0007_3.txt,DAMIMAS_A21B_0007_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,3,640,853,403886,6,0,3,B1+B2+B3,1,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0007_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0007_4.txt,DAMIMAS_A21B_0007_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0007,4,640,853,422240,7,0,4,B1+B2+B3+B4,1,1,1,1
dataset_640\images\train\DAMIMAS_A21B_0009_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0009_1.txt,DAMIMAS_A21B_0009_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0009,1,640,853,447201,2,0,2,B2+B3,0,1,1,0
dataset_640\images\train\DAMIMAS_A21B_0009_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0009_2.txt,DAMIMAS_A21B_0009_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0009,2,640,853,436708,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0009_3.jpg,dataset_640\labels\train\DAMIMAS_A21B_0009_3.txt,DAMIMAS_A21B_0009_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0009,3,640,853,430013,2,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0009_4.jpg,dataset_640\labels\train\DAMIMAS_A21B_0009_4.txt,DAMIMAS_A21B_0009_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0009,4,640,853,432475,3,0,2,B3+B4,0,0,1,1
dataset_640\images\train\DAMIMAS_A21B_0011_1.jpg,dataset_640\labels\train\DAMIMAS_A21B_0011_1.txt,DAMIMAS_A21B_0011_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0011,1,640,853,447213,3,0,2,B1+B2,1,1,0,0
dataset_640\images\train\DAMIMAS_A21B_0011_2.jpg,dataset_640\labels\train\DAMIMAS_A21B_0011_2.txt,DAMIMAS_A21B_0011_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0011,2,640,853,442068,5,0,3,B2+B3+B4,0,1,1,1
