instance_id,line_index,image_path,stem,split,source_key,source,tree_id,view_id,class_id,class_name,x_center,y_center,bbox_w,bbox_h,bbox_area,aspect_ratio,image_label_count,crowding_others
0,0,dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,2,B3,0.660609,0.408238,0.055795,0.041846,0.00233479757,1.3333412990488935,5,4
1,1,dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,1,B2,0.62235,0.443508,0.098836,0.087279,0.008626307243999999,1.1324144410453831,5,4
2,2,dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,2,B3,0.503188,0.416009,0.088474,0.065758,0.005817873291999999,1.3454484625444814,5,4
3,3,dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,2,B3,0.417105,0.433046,0.090069,0.077116,0.006945761004,1.167967736915815,5,4
4,4,dataset_640\images\train\DAMIMAS_A21B_0001_1.jpg,DAMIMAS_A21B_0001_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,1,1,B2,0.361709,0.457855,0.079707,0.075323,0.006003770361,1.05820267381809,5,4
5,0,dataset_640\images\train\DAMIMAS_A21B_0001_2.jpg,DAMIMAS_A21B_0001_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,2,2,B3,0.611383,0.34518,0.119826,0.108252,0.012971404152,1.1069171932158297,4,3
6,1,dataset_640\images\train\DAMIMAS_A21B_0001_2.jpg,DAMIMAS_A21B_0001_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,2,1,B2,0.489107,0.353181,0.099321,0.098039,0.009737331519000001,1.0130764287681433,4,3
7,2,dataset_640\images\train\DAMIMAS_A21B_0001_2.jpg,DAMIMAS_A21B_0001_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,2,2,B3,0.359349,0.362793,0.096117,0.085544,0.008222232647999999,1.123597213130085,4,3
8,3,dataset_640\images\train\DAMIMAS_A21B_0001_2.jpg,DAMIMAS_A21B_0001_2,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,2,2,B3,0.434,0.320261,0.081379,0.086986,0.007078833694,0.9355413514818478,4,3
9,0,dataset_640\images\train\DAMIMAS_A21B_0001_3.jpg,DAMIMAS_A21B_0001_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,3,2,B3,0.607985,0.278879,0.13214,0.117754,0.01556001356,1.1221699475177065,4,3
10,1,dataset_640\images\train\DAMIMAS_A21B_0001_3.jpg,DAMIMAS_A21B_0001_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,3,0,B1,0.349744,0.337489,0.142796,0.133738,0.019097251448,1.0677294411461216,4,3
11,2,dataset_640\images\train\DAMIMAS_A21B_0001_3.jpg,DAMIMAS_A21B_0001_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,3,1,B2,0.701407,0.336157,0.088804,0.088448,0.007854536192,1.0040249638205498,4,3
12,3,dataset_640\images\train\DAMIMAS_A21B_0001_3.jpg,DAMIMAS_A21B_0001_3,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,3,2,B3,0.478332,0.293265,0.111537,0.108163,0.012064176530999999,1.0311936614184147,4,3
13,0,dataset_640\images\train\DAMIMAS_A21B_0001_4.jpg,DAMIMAS_A21B_0001_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,4,0,B1,0.595156,0.427672,0.12303,0.110534,0.01359899802,1.1130511878697957,4,3
14,1,dataset_640\images\train\DAMIMAS_A21B_0001_4.jpg,DAMIMAS_A21B_0001_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,4,2,B3,0.463476,0.388745,0.119826,0.101884,0.012208352184,1.1761022339130776,4,3
15,2,dataset_640\images\train\DAMIMAS_A21B_0001_4.jpg,DAMIMAS_A21B_0001_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,4,1,B2,0.348434,0.40906,0.110998,0.086207,0.009568804586,1.287575254909694,4,3
16,3,dataset_640\images\train\DAMIMAS_A21B_0001_4.jpg,DAMIMAS_A21B_0001_4,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0001,4,2,B3,0.654455,0.388631,0.059053,0.0602,0.0035549906,0.9809468438538207,4,3
17,0,dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,1,B2,0.318405,0.521947,0.149287,0.105838,0.015800237506,1.4105236304540902,5,4
18,1,dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,1,B2,0.610294,0.48379,0.112151,0.108623,0.012182178073,1.0324793091702493,5,4
19,2,dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,2,B3,0.387106,0.45928,0.118835,0.104167,0.012378685444999999,1.140812349400482,5,4
20,3,dataset_640\images\train\DAMIMAS_A21B_0003_1.jpg,DAMIMAS_A21B_0003_1,train,DAMIMAS_A21B,DAMIMAS,DAMIMAS_A21B_0003,1,2,B3,0.55199,0.420009,0.065359,0.096925,0.006334921075,0.6743255094144958,5,4
