split_scope,metric,class_name,value
all,bbox_area_js,B1,0.4365447082012329
all,bbox_area_js,B2,0.26367462380493867
all,bbox_area_js,B3,0.2800142985224193
all,bbox_area_js,B4,0.22083764422580657
all,class_mix_instances_js,ALL,0.23689500510247147
all,image_density_js,ALL,0.5171746811372278
all,y_center_js,B1,0.31103070048863724
all,y_center_js,B2,0.25776530143426307
all,y_center_js,B3,0.20653081577173282
all,y_center_js,B4,0.2630553800025423
test,bbox_area_js,B1,
test,bbox_area_js,B2,0.35376043532298346
test,bbox_area_js,B3,0.18482502082241753
test,bbox_area_js,B4,0.26005790564797926
test,class_mix_instances_js,ALL,0.2831998587677012
test,image_density_js,ALL,0.4309674490176604
test,y_center_js,B1,
test,y_center_js,B2,0.27832514998387375
test,y_center_js,B3,0.27514759038975317
test,y_center_js,B4,0.32212293012970733
train,bbox_area_js,B1,0.46432568383637046
train,bbox_area_js,B2,0.35511914412549894
train,bbox_area_js,B3,0.314242946841303
train,bbox_area_js,B4,0.21252229645839418
train,class_mix_instances_js,ALL,0.23817692365967835
train,image_density_js,ALL,0.5232189947095622
train,y_center_js,B1,0.41981688259534067
train,y_center_js,B2,0.28058644733595467
train,y_center_js,B3,0.19853778374208428
train,y_center_js,B4,0.2982642764213121
val,bbox_area_js,B1,0.6174495534493932
val,bbox_area_js,B2,0.32122083522094863
val,bbox_area_js,B3,0.32803712720654177
val,bbox_area_js,B4,0.2783925444764456
val,class_mix_instances_js,ALL,0.21642526046612404
val,image_density_js,ALL,0.6511786235481082
val,y_center_js,B1,0.4719967128315135
val,y_center_js,B2,0.44359496144780775
val,y_center_js,B3,0.338032201014223
val,y_center_js,B4,0.37609259713591003
