tree_id,B1,B2,B3,B4
DAMIMAS_A21B_0001,2.0,5.0,10.0,0.0
DAMIMAS_A21B_0002,3.0,6.0,8.0,7.0
DAMIMAS_A21B_0003,1.0,4.0,11.0,4.0
DAMIMAS_A21B_0004,0.0,3.0,10.0,0.0
DAMIMAS_A21B_0005,1.0,6.0,6.0,2.0
DAMIMAS_A21B_0006,1.0,1.0,7.0,6.0
DAMIMAS_A21B_0007,6.0,10.0,10.0,3.0
DAMIMAS_A21B_0008,4.0,9.0,4.0,0.0
DAMIMAS_A21B_0009,0.0,1.0,6.0,3.0
DAMIMAS_A21B_0010,2.0,2.0,12.0,4.0
DAMIMAS_A21B_0011,3.0,7.0,2.0,1.0
DAMIMAS_A21B_0012,4.0,6.0,2.0,3.0
DAMIMAS_A21B_0013,1.0,4.0,7.0,5.0
DAMIMAS_A21B_0014,2.0,2.0,9.0,5.0
DAMIMAS_A21B_0015,5.0,8.0,8.0,4.0
DAMIMAS_A21B_0016,1.0,3.0,4.0,0.0
DAMIMAS_A21B_0017,2.0,0.0,9.0,5.0
DAMIMAS_A21B_0018,2.0,0.0,8.0,1.0
DAMIMAS_A21B_0019,4.0,11.0,9.0,1.0
DAMIMAS_A21B_0020,2.0,5.0,4.0,4.0
DAMIMAS_A21B_0021,4.0,4.0,8.0,5.0
DAMIMAS_A21B_0022,0.0,1.0,6.0,7.0
DAMIMAS_A21B_0023,6.0,10.0,0.0,0.0
DAMIMAS_A21B_0024,3.0,4.0,6.0,6.0
DAMIMAS_A21B_0025,4.0,1.0,6.0,0.0
DAMIMAS_A21B_0026,0.0,1.0,4.0,7.0
DAMIMAS_A21B_0027,7.0,12.0,0.0,0.0
DAMIMAS_A21B_0028,0.0,1.0,10.0,9.0
DAMIMAS_A21B_0029,4.0,2.0,12.0,4.0
DAMIMAS_A21B_0030,0.0,0.0,7.0,6.0
DAMIMAS_A21B_0031,0.0,9.0,2.0,1.0
DAMIMAS_A21B_0032,3.0,3.0,11.0,4.0
DAMIMAS_A21B_0033,0.0,0.0,16.0,1.0
DAMIMAS_A21B_0034,0.0,1.0,4.0,11.0
DAMIMAS_A21B_0035,0.0,11.0,1.0,0.0
DAMIMAS_A21B_0036,1.0,4.0,9.0,1.0
DAMIMAS_A21B_0037,1.0,5.0,9.0,4.0
DAMIMAS_A21B_0038,4.0,0.0,6.0,10.0
DAMIMAS_A21B_0039,4.0,11.0,0.0,0.0
DAMIMAS_A21B_0040,5.0,2.0,10.0,3.0
DAMIMAS_A21B_0041,4.0,4.0,10.0,2.0
DAMIMAS_A21B_0042,5.0,1.0,5.0,4.0
DAMIMAS_A21B_0043,7.0,15.0,1.0,0.0
DAMIMAS_A21B_0044,4.0,5.0,5.0,1.0
DAMIMAS_A21B_0045,2.0,4.0,16.0,6.0
DAMIMAS_A21B_0046,0.0,0.0,6.0,7.0
DAMIMAS_A21B_0047,5.0,7.0,1.0,0.0
DAMIMAS_A21B_0048,3.0,4.0,6.0,2.0
DAMIMAS_A21B_0049,0.0,0.0,10.0,3.0
DAMIMAS_A21B_0050,4.0,0.0,4.0,7.0
DAMIMAS_A21B_0051,1.0,21.0,2.0,0.0
DAMIMAS_A21B_0052,6.0,6.0,7.0,3.0
DAMIMAS_A21B_0053,2.0,2.0,6.0,4.0
DAMIMAS_A21B_0054,1.0,2.0,5.0,12.0
DAMIMAS_A21B_0055,7.0,13.0,1.0,0.0
DAMIMAS_A21B_0056,4.0,0.0,4.0,6.0
DAMIMAS_A21B_0057,4.0,3.0,11.0,5.0
DAMIMAS_A21B_0058,5.0,0.0,4.0,6.0
DAMIMAS_A21B_0059,5.0,3.0,0.0,0.0
DAMIMAS_A21B_0060,3.0,1.0,5.0,7.0
DAMIMAS_A21B_0061,2.0,4.0,13.0,1.0
DAMIMAS_A21B_0062,3.0,3.0,5.0,4.0
DAMIMAS_A21B_0063,5.0,8.0,3.0,0.0
DAMIMAS_A21B_0064,2.0,4.0,5.0,1.0
DAMIMAS_A21B_0065,7.0,0.0,12.0,5.0
DAMIMAS_A21B_0066,4.0,4.0,8.0,10.0
DAMIMAS_A21B_0067,7.0,14.0,3.0,0.0
DAMIMAS_A21B_0068,4.0,5.0,3.0,6.0
DAMIMAS_A21B_0069,3.0,3.0,11.0,2.0
DAMIMAS_A21B_0070,0.0,0.0,11.0,6.0
DAMIMAS_A21B_0071,4.0,14.0,0.0,0.0
DAMIMAS_A21B_0072,3.0,7.0,8.0,3.0
DAMIMAS_A21B_0074,0.0,0.0,2.0,0.0
DAMIMAS_A21B_0075,6.0,18.0,4.0,1.0
DAMIMAS_A21B_0076,6.0,5.0,4.0,7.0
DAMIMAS_A21B_0077,5.0,3.0,9.0,1.0
DAMIMAS_A21B_0078,5.0,1.0,8.0,6.0
DAMIMAS_A21B_0079,5.0,14.0,7.0,0.0
DAMIMAS_A21B_0080,5.0,3.0,2.0,8.0
DAMIMAS_A21B_0081,7.0,0.0,9.0,5.0
DAMIMAS_A21B_0082,3.0,3.0,6.0,1.0
DAMIMAS_A21B_0083,5.0,16.0,0.0,0.0
DAMIMAS_A21B_0084,0.0,4.0,6.0,1.0
DAMIMAS_A21B_0085,2.0,5.0,15.0,4.0
DAMIMAS_A21B_0086,3.0,3.0,10.0,3.0
DAMIMAS_A21B_0087,7.0,13.0,3.0,0.0
DAMIMAS_A21B_0088,5.0,1.0,9.0,4.0
DAMIMAS_A21B_0089,0.0,3.0,13.0,5.0
DAMIMAS_A21B_0090,0.0,2.0,4.0,4.0
DAMIMAS_A21B_0091,3.0,16.0,1.0,0.0
DAMIMAS_A21B_0092,1.0,3.0,8.0,7.0
DAMIMAS_A21B_0093,0.0,1.0,11.0,5.0
DAMIMAS_A21B_0094,2.0,0.0,8.0,14.0
DAMIMAS_A21B_0095,4.0,10.0,1.0,0.0
DAMIMAS_A21B_0096,3.0,1.0,3.0,9.0
DAMIMAS_A21B_0097,1.0,5.0,14.0,2.0
DAMIMAS_A21B_0098,0.0,1.0,5.0,10.0
DAMIMAS_A21B_0099,6.0,11.0,4.0,0.0
DAMIMAS_A21B_0100,4.0,2.0,7.0,13.0
DAMIMAS_A21B_0101,4.0,3.0,8.0,0.0
DAMIMAS_A21B_0102,0.0,0.0,7.0,10.0
DAMIMAS_A21B_0103,3.0,19.0,6.0,0.0
DAMIMAS_A21B_0104,5.0,3.0,6.0,11.0
DAMIMAS_A21B_0105,3.0,4.0,11.0,3.0
DAMIMAS_A21B_0106,4.0,0.0,4.0,12.0
DAMIMAS_A21B_0107,7.0,12.0,8.0,1.0
DAMIMAS_A21B_0108,4.0,4.0,6.0,2.0
DAMIMAS_A21B_0109,1.0,7.0,6.0,3.0
DAMIMAS_A21B_0110,0.0,0.0,4.0,2.0
DAMIMAS_A21B_0111,0.0,16.0,7.0,0.0
DAMIMAS_A21B_0112,2.0,0.0,3.0,4.0
DAMIMAS_A21B_0113,0.0,1.0,6.0,1.0
DAMIMAS_A21B_0114,0.0,2.0,1.0,6.0
DAMIMAS_A21B_0115,0.0,2.0,3.0,0.0
DAMIMAS_A21B_0116,1.0,5.0,8.0,9.0
DAMIMAS_A21B_0117,0.0,0.0,7.0,1.0
DAMIMAS_A21B_0118,3.0,2.0,1.0,12.0
DAMIMAS_A21B_0119,8.0,9.0,3.0,0.0
DAMIMAS_A21B_0120,3.0,0.0,1.0,5.0
DAMIMAS_A21B_0121,0.0,3.0,10.0,2.0
DAMIMAS_A21B_0122,3.0,0.0,3.0,4.0
DAMIMAS_A21B_0123,6.0,9.0,2.0,0.0
DAMIMAS_A21B_0124,0.0,7.0,5.0,7.0
DAMIMAS_A21B_0125,2.0,6.0,8.0,3.0
DAMIMAS_A21B_0126,3.0,2.0,6.0,5.0
DAMIMAS_A21B_0127,1.0,14.0,4.0,2.0
DAMIMAS_A21B_0128,2.0,3.0,7.0,2.0
DAMIMAS_A21B_0129,0.0,2.0,6.0,0.0
DAMIMAS_A21B_0130,2.0,2.0,2.0,9.0
DAMIMAS_A21B_0131,2.0,12.0,4.0,0.0
DAMIMAS_A21B_0132,5.0,0.0,1.0,10.0
DAMIMAS_A21B_0133,0.0,0.0,15.0,2.0
DAMIMAS_A21B_0134,0.0,4.0,7.0,5.0
DAMIMAS_A21B_0135,8.0,9.0,4.0,0.0
DAMIMAS_A21B_0136,0.0,6.0,9.0,6.0
DAMIMAS_A21B_0137,0.0,4.0,11.0,2.0
DAMIMAS_A21B_0138,2.0,2.0,6.0,4.0
DAMIMAS_A21B_0139,0.0,13.0,5.0,0.0
DAMIMAS_A21B_0140,6.0,4.0,6.0,10.0
DAMIMAS_A21B_0141,0.0,0.0,16.0,3.0
DAMIMAS_A21B_0142,0.0,0.0,0.0,4.0
DAMIMAS_A21B_0143,0.0,9.0,7.0,2.0
DAMIMAS_A21B_0144,2.0,7.0,2.0,7.0
DAMIMAS_A21B_0145,2.0,2.0,13.0,1.0
DAMIMAS_A21B_0146,3.0,4.0,8.0,7.0
DAMIMAS_A21B_0147,4.0,11.0,6.0,3.0
DAMIMAS_A21B_0148,5.0,0.0,6.0,6.0
DAMIMAS_A21B_0149,2.0,2.0,16.0,3.0
DAMIMAS_A21B_0150,2.0,2.0,13.0,8.0
DAMIMAS_A21B_0151,2.0,13.0,7.0,1.0
DAMIMAS_A21B_0152,4.0,6.0,4.0,9.0
DAMIMAS_A21B_0153,0.0,0.0,15.0,1.0
DAMIMAS_A21B_0154,1.0,3.0,7.0,15.0
DAMIMAS_A21B_0155,3.0,14.0,4.0,2.0
DAMIMAS_A21B_0156,3.0,2.0,6.0,7.0
DAMIMAS_A21B_0157,1.0,6.0,14.0,5.0
DAMIMAS_A21B_0158,2.0,2.0,7.0,6.0
DAMIMAS_A21B_0159,1.0,1.0,2.0,5.0
DAMIMAS_A21B_0160,3.0,4.0,5.0,1.0
DAMIMAS_A21B_0161,0.0,1.0,19.0,4.0
DAMIMAS_A21B_0162,0.0,0.0,8.0,10.0
DAMIMAS_A21B_0163,5.0,16.0,7.0,3.0
DAMIMAS_A21B_0164,3.0,3.0,6.0,12.0
DAMIMAS_A21B_0165,2.0,5.0,12.0,4.0
DAMIMAS_A21B_0166,4.0,1.0,10.0,3.0
DAMIMAS_A21B_0167,5.0,10.0,6.0,1.0
DAMIMAS_A21B_0168,3.0,6.0,4.0,11.0
DAMIMAS_A21B_0169,1.0,2.0,20.0,5.0
DAMIMAS_A21B_0170,1.0,3.0,9.0,12.0
DAMIMAS_A21B_0171,0.0,10.0,3.0,0.0
DAMIMAS_A21B_0172,2.0,5.0,5.0,8.0
DAMIMAS_A21B_0173,4.0,2.0,16.0,1.0
DAMIMAS_A21B_0174,4.0,0.0,9.0,13.0
DAMIMAS_A21B_0175,4.0,12.0,6.0,0.0
DAMIMAS_A21B_0176,4.0,3.0,5.0,6.0
DAMIMAS_A21B_0177,0.0,5.0,13.0,4.0
DAMIMAS_A21B_0178,2.0,3.0,5.0,9.0
DAMIMAS_A21B_0179,3.0,8.0,10.0,0.0
DAMIMAS_A21B_0180,0.0,4.0,11.0,9.0
DAMIMAS_A21B_0181,0.0,0.0,17.0,4.0
DAMIMAS_A21B_0182,2.0,5.0,8.0,5.0
DAMIMAS_A21B_0183,3.0,13.0,7.0,1.0
DAMIMAS_A21B_0184,2.0,7.0,2.0,0.0
DAMIMAS_A21B_0185,1.0,3.0,12.0,4.0
DAMIMAS_A21B_0186,4.0,1.0,9.0,1.0
DAMIMAS_A21B_0187,2.0,4.0,1.0,0.0
DAMIMAS_A21B_0188,4.0,0.0,2.0,5.0
DAMIMAS_A21B_0189,5.0,3.0,2.0,0.0
DAMIMAS_A21B_0190,2.0,4.0,8.0,3.0
DAMIMAS_A21B_0191,5.0,7.0,1.0,0.0
DAMIMAS_A21B_0192,0.0,0.0,5.0,7.0
DAMIMAS_A21B_0193,0.0,0.0,20.0,4.0
DAMIMAS_A21B_0194,0.0,0.0,6.0,7.0
DAMIMAS_A21B_0195,8.0,8.0,3.0,0.0
DAMIMAS_A21B_0196,1.0,4.0,4.0,5.0
DAMIMAS_A21B_0197,0.0,1.0,11.0,3.0
DAMIMAS_A21B_0198,2.0,0.0,12.0,3.0
DAMIMAS_A21B_0199,3.0,12.0,6.0,0.0
DAMIMAS_A21B_0200,2.0,2.0,5.0,2.0
DAMIMAS_A21B_0201,3.0,0.0,15.0,2.0
DAMIMAS_A21B_0202,2.0,1.0,5.0,1.0
DAMIMAS_A21B_0203,0.0,12.0,1.0,0.0
DAMIMAS_A21B_0204,5.0,4.0,6.0,4.0
DAMIMAS_A21B_0205,0.0,1.0,14.0,0.0
DAMIMAS_A21B_0206,0.0,5.0,15.0,1.0
DAMIMAS_A21B_0207,7.0,9.0,4.0,0.0
DAMIMAS_A21B_0208,3.0,6.0,6.0,7.0
DAMIMAS_A21B_0209,0.0,3.0,12.0,1.0
DAMIMAS_A21B_0210,3.0,2.0,7.0,6.0
DAMIMAS_A21B_0211,6.0,12.0,5.0,1.0
DAMIMAS_A21B_0212,3.0,2.0,6.0,5.0
DAMIMAS_A21B_0213,0.0,2.0,18.0,0.0
DAMIMAS_A21B_0214,2.0,1.0,8.0,9.0
DAMIMAS_A21B_0215,7.0,7.0,4.0,0.0
DAMIMAS_A21B_0216,5.0,5.0,5.0,5.0
DAMIMAS_A21B_0217,6.0,2.0,13.0,0.0
DAMIMAS_A21B_0218,1.0,2.0,5.0,11.0
DAMIMAS_A21B_0219,5.0,11.0,3.0,0.0
DAMIMAS_A21B_0220,2.0,3.0,3.0,1.0
DAMIMAS_A21B_0221,6.0,6.0,12.0,1.0
DAMIMAS_A21B_0222,1.0,2.0,8.0,7.0
DAMIMAS_A21B_0223,3.0,9.0,4.0,0.0
DAMIMAS_A21B_0224,6.0,2.0,7.0,5.0
DAMIMAS_A21B_0225,2.0,2.0,6.0,0.0
DAMIMAS_A21B_0226,0.0,0.0,11.0,2.0
DAMIMAS_A21B_0227,3.0,0.0,0.0,4.0
DAMIMAS_A21B_0228,4.0,4.0,4.0,5.0
DAMIMAS_A21B_0229,4.0,1.0,15.0,0.0
