split,source,tree_id,views,images,total_objects,mean_objects_per_view,std_objects_per_view,distinct_combos,empty_views,cv_objects_per_view,B1,B2,B3,B4
test,DAMIMAS,DAMIMAS_A21B_0008,4,4,17,4.25,1.2583057392117918,3,0,0.2960719385684047,4.0,9.0,4.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0010,4,4,20,5.0,0.0,2,0,0.0,2.0,2.0,12.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0026,4,4,12,3.0,0.0,3,0,0.0,0.0,1.0,4.0,7.0
test,DAMIMAS,DAMIMAS_A21B_0029,4,4,22,5.5,0.5773502691896257,2,0,0.10497277619720963,4.0,2.0,12.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0034,4,4,16,4.0,0.816496580927726,2,0,0.20412414518090047,0.0,1.0,4.0,11.0
test,DAMIMAS,DAMIMAS_A21B_0039,4,4,15,3.75,0.5,1,0,0.13333333329777777,4.0,11.0,0.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0042,4,4,15,3.75,0.9574271077563381,3,0,0.25531389533360643,5.0,1.0,5.0,4.0
test,DAMIMAS,DAMIMAS_A21B_0045,4,4,28,7.0,0.816496580927726,2,0,0.11664236868729766,2.0,4.0,16.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0046,4,4,13,3.25,0.9574271077563382,1,0,0.2945929561420755,0.0,0.0,6.0,7.0
test,DAMIMAS,DAMIMAS_A21B_0049,4,4,13,3.25,0.5,2,0,0.15384615379881655,0.0,0.0,10.0,3.0
test,DAMIMAS,DAMIMAS_A21B_0050,4,4,15,3.75,0.5,2,0,0.13333333329777777,4.0,0.0,4.0,7.0
test,DAMIMAS,DAMIMAS_A21B_0056,4,4,14,3.5,1.0,3,0,0.28571428563265305,4.0,0.0,4.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0061,4,4,20,5.0,0.816496580927726,3,0,0.16329931615288534,2.0,4.0,13.0,1.0
test,DAMIMAS,DAMIMAS_A21B_0065,4,4,24,6.0,0.8164965809277259,1,0,0.13608276346527387,7.0,0.0,12.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0070,4,4,17,4.25,0.9574271077563381,2,0,0.22527696647789675,0.0,0.0,11.0,6.0
test,DAMIMAS,DAMIMAS_A21B_0074,4,4,2,0.5,1.0,2,3,1.9999999960000001,0.0,0.0,2.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0079,4,4,26,6.5,0.5773502691896257,2,0,0.0888231183232004,5.0,14.0,7.0,0.0
test,DAMIMAS,DAMIMAS_A21B_0089,4,4,21,5.25,0.9574271077563381,2,0,0.18236706810932782,0.0,3.0,13.0,5.0
test,DAMIMAS,DAMIMAS_A21B_0091,4,4,20,5.0,0.8164965809277259,3,0,0.16329931615288532,3.0,16.0,1.0,0.0
