split,source,view_id,images,mean_objects,empty_rate
test,DAMIMAS,1,130,4.538461538461538,0.007692307692307693
test,DAMIMAS,2,130,4.530769230769231,0.03076923076923077
test,DAMIMAS,3,130,4.415384615384616,0.03076923076923077
test,DAMIMAS,4,130,4.615384615384615,0.015384615384615385
test,DAMIMAS,5,9,4.888888888888889,0.0
test,DAMIMAS,6,9,5.333333333333333,0.0
test,DAMIMAS,7,9,4.555555555555555,0.0
test,DAMIMAS,8,9,4.888888888888889,0.0
test,LONSUM,1,14,3.142857142857143,0.07142857142857142
test,LONSUM,2,14,2.7857142857142856,0.0
test,LONSUM,3,14,3.0714285714285716,0.0
test,LONSUM,4,14,3.0,0.07142857142857142
train,DAMIMAS,1,597,4.738693467336684,0.01507537688442211
train,DAMIMAS,2,597,4.69179229480737,0.010050251256281407
train,DAMIMAS,3,597,4.67001675041876,0.01340033500837521
train,DAMIMAS,4,597,4.758793969849246,0.008375209380234505
train,DAMIMAS,5,26,4.153846153846154,0.0
train,DAMIMAS,6,26,4.230769230769231,0.0
train,DAMIMAS,7,26,4.346153846153846,0.0
train,DAMIMAS,8,26,4.461538461538462,0.0
train,LONSUM,1,70,2.5142857142857142,0.12857142857142856
train,LONSUM,2,70,2.6714285714285713,0.08571428571428572
train,LONSUM,3,70,2.7285714285714286,0.08571428571428572
train,LONSUM,4,70,2.3714285714285714,0.11428571428571428
val,DAMIMAS,1,127,4.850393700787402,0.023622047244094488
val,DAMIMAS,2,127,4.881889763779528,0.023622047244094488
val,DAMIMAS,3,127,4.937007874015748,0.015748031496062992
val,DAMIMAS,4,127,4.866141732283465,0.007874015748031496
val,DAMIMAS,5,10,5.4,0.0
val,DAMIMAS,6,10,5.3,0.0
val,DAMIMAS,7,10,5.2,0.0
val,DAMIMAS,8,10,4.7,0.0
val,LONSUM,1,15,2.066666666666667,0.13333333333333333
val,LONSUM,2,15,2.6666666666666665,0.0
val,LONSUM,3,15,2.1333333333333333,0.06666666666666667
val,LONSUM,4,15,2.3333333333333335,0.06666666666666667
